sku,month,unit_cost,std_daily,D_month,mean_daily,D_annual_equiv,EOQ,Recommended_Order,Safety_Stock,Reorder_Point,Cycle_Time_days,Annual_Order_Cost,Annual_Holding_Cost,Annual_Purchase_Cost,Total_Annual_Cost
SKU-15010,1,55601.95,19.229378938876998,52.4,1.87,683.3,157,157,84,97,83.7,871692.0,871692.0,37992340.0,39735723.0
SKU-08865,1,160000.0,10.468302058373554,48.5,1.73,632.7,89,95,46,58,51.3,1422905.0,1422905.0,101232929.0,104078739.0
SKU-14468,1,154213.03,17.369406935271783,47.1,1.68,614.3,90,123,76,88,53.0,1376521.0,1376521.0,94740507.0,97493549.0
SKU-15172,1,95916.26,11.246418044439297,46.8,1.67,610.7,113,113,49,61,67.4,1082357.0,1082357.0,58574835.0,60739550.0
SKU-10054,1,29217.64,12.876077338951124,43.4,1.55,565.2,197,197,57,67,127.0,574683.0,574683.0,16513047.0,17662414.0
SKU-06651,1,98959.12,7.353073056951588,41.3,1.47,538.2,105,105,32,43,70.7,1032120.0,1032120.0,53263566.0,55327806.0
SKU-07022,1,485370.53,12.033429763464747,40.9,1.46,533.2,47,94,53,63,32.1,2274992.0,2274992.0,258779524.0,263329509.0
SKU-14747,1,141067.14,13.768450339105236,40.2,1.44,524.0,87,101,60,70,60.0,1215841.0,1215841.0,73913485.0,76345167.0
SKU-10364,1,26288.88,53.71758456081068,39.0,1.39,508.1,197,273,234,244,141.2,516870.0,516870.0,13357706.0,14391445.0
SKU-14882,1,154197.52,15.40572622246882,38.8,1.39,506.1,82,106,68,77,58.4,1249306.0,1249306.0,78038227.0,80536838.0
SKU-14641,1,143385.99,14.888824176760997,38.6,1.38,503.8,84,104,65,75,60.7,1201993.0,1201993.0,72239358.0,74643344.0
SKU-14763,1,120380.54,20.63462527038762,37.5,1.34,489.0,91,128,90,100,67.3,1085065.0,1085065.0,58868272.0,61038402.0
SKU-14730,1,155182.11,25.29755707166107,37.3,1.33,486.6,80,148,111,120,59.4,1228924.0,1228924.0,75512686.0,77970534.0
SKU-00345,1,1100419.52,19.3254755728341,34.9,1.25,454.7,29,119,85,93,23.1,3163292.0,3163292.0,500320850.0,506647435.0
SKU-15118,1,21369.65,13.149575895118812,34.4,1.23,448.9,205,205,58,66,166.7,438038.0,438038.0,9593843.0,10469918.0
SKU-14798,1,137712.44,11.943715680324782,32.9,1.17,428.7,79,85,52,61,67.2,1086631.0,1086631.0,59038381.0,61211644.0
SKU-10981,1,45042.81,11.253262003172685,31.6,1.13,411.4,136,136,49,57,119.9,608793.0,608793.0,18531424.0,19749009.0
SKU-03565,1,85662.18,13.586207522057183,29.0,1.03,377.7,94,94,60,67,90.8,804373.0,804373.0,32350833.0,33959580.0
SKU-14644,1,239187.06,13.906938750944109,29.0,1.03,377.6,57,90,61,68,54.3,1344073.0,1344073.0,90326646.0,93014793.0
SKU-14888,1,119648.03,18.322197729543397,28.4,1.01,369.9,79,109,80,87,77.6,940835.0,940835.0,44258549.0,46140220.0
SKU-11398,1,65550.51,16.607792055514373,27.5,0.98,358.4,105,105,73,80,106.5,685497.0,685497.0,23495276.0,24866269.0
SKU-10989,1,57013.83,10.164819313207005,27.4,0.98,357.7,113,113,45,52,114.3,638655.0,638655.0,20394041.0,21671352.0
SKU-12064,1,480132.62,5.155460418410249,27.4,0.98,357.3,39,50,23,30,39.4,1852237.0,1852237.0,171539073.0,175243547.0
SKU-14574,1,164869.07,12.384543822327066,27.3,0.98,356.3,66,82,54,61,67.4,1083884.0,1083884.0,58740261.0,60908029.0
SKU-10499,1,455379.95,6.46378512080408,27.0,0.96,351.4,40,56,29,35,40.8,1789028.0,1789028.0,160031084.0,163609140.0
SKU-10991,1,64705.87,8.934147429063582,26.7,0.95,347.9,104,104,39,46,108.8,670952.0,670952.0,22508839.0,23850744.0
SKU-11011,1,179872.75,16.929980341705978,26.2,0.94,342.0,62,100,74,81,65.8,1109209.0,1109209.0,61517223.0,63735641.0
SKU-14647,1,225903.12,17.437117182277643,26.0,0.93,339.6,55,102,76,83,58.9,1238619.0,1238619.0,76708798.0,79186035.0
SKU-11001,1,121782.61,21.535767979030673,23.9,0.86,312.2,72,118,94,100,83.7,872008.0,872008.0,38019874.0,39763889.0
SKU-06696,1,924849.61,12.185321917085814,23.5,0.84,306.8,26,77,54,59,30.6,2382367.0,2382367.0,283783619.0,288548353.0
SKU-15106,1,13947.84,8.025208943529547,23.1,0.83,301.3,208,208,35,41,251.8,289926.0,289926.0,4202848.0,4782699.0
SKU-15201,1,95168.19,8.741401604928631,23.1,0.82,300.8,80,80,39,44,96.5,756686.0,756686.0,28628652.0,30142023.0
SKU-11014,1,188228.91,23.31383190321557,22.9,0.82,297.9,57,125,102,108,68.9,1059037.0,1059037.0,56077977.0,58196051.0
SKU-02481,1,480000.0,2.081234236627972,22.7,0.81,295.8,36,36,10,15,43.3,1685172.0,1685172.0,141990312.0,145360657.0
SKU-14838,1,254619.88,16.327250334754396,22.7,0.81,295.7,49,94,72,77,59.5,1227053.0,1227053.0,75282949.0,77737055.0
SKU-12279,1,18624.78,148.63098329791973,21.9,0.78,284.9,175,669,647,653,224.1,325775.0,325775.0,5306473.0,5958023.0
SKU-14872,1,154869.7,14.100036082346653,21.4,0.76,278.6,60,83,62,67,78.6,929018.0,929018.0,43153753.0,45011790.0
SKU-10117,1,510990.25,42.20392628053627,21.1,0.76,275.6,33,205,184,189,43.5,1678343.0,1678343.0,140841716.0,144198401.0
SKU-12532,1,52580.18,76.41269155091679,21.1,0.75,275.2,103,354,333,338,135.7,537945.0,537945.0,14469236.0,15545126.0
SKU-08863,1,134824.08,47.5197315049025,20.8,0.74,271.2,64,228,207,213,85.4,855079.0,855079.0,36557973.0,38268130.0
SKU-00998,1,82262.58,8.57812635520313,20.6,0.74,268.7,81,81,38,43,109.8,664851.0,664851.0,22101362.0,23431065.0
SKU-06833,1,780504.54,28.7667419799902,19.7,0.7,256.5,26,145,126,131,36.5,2001166.0,2001166.0,200233309.0,204235642.0
SKU-14465,1,148108.74,40.91615669421239,19.7,0.7,256.8,59,198,179,183,83.7,872100.0,872100.0,38027934.0,39772135.0
SKU-09624,1,396600.45,3.547697843036924,19.2,0.69,250.4,36,36,16,21,51.8,1409207.0,1409207.0,99293248.0,102111663.0
SKU-15146,1,119299.54,7.070395652127928,18.9,0.68,246.5,65,65,31,36,95.2,766912.0,766912.0,29407682.0,30941506.0
SKU-15283,1,71718.48,18.076739016961646,18.9,0.67,246.3,83,98,79,84,122.8,594366.0,594366.0,17663552.0,18852284.0
SKU-13726,1,238080.45,3.813991372578127,18.8,0.67,244.8,46,46,17,22,67.6,1079543.0,1079543.0,58270602.0,60429688.0
SKU-09523,1,45731.205,21.86766186958897,18.7,0.67,244.3,104,114,96,100,154.4,472690.0,472690.0,11171794.0,12117174.0
SKU-10984,1,44314.47,7.455053223237325,18.2,0.65,237.6,104,104,33,38,159.1,458899.0,458899.0,10529431.0,11447230.0
SKU-04163,1,557009.1,6.019123155574533,17.9,0.64,233.3,29,45,27,31,45.3,1611978.0,1611978.0,129923678.0,133147634.0
SKU-09490,1,11000.0,20.17580390128391,17.8,0.64,232.6,206,206,88,93,322.7,226204.0,226204.0,2558413.0,3010821.0
SKU-15121,1,16568.68,12.996576502249207,17.7,0.63,230.9,167,167,57,61,263.9,276589.0,276589.0,3825076.0,4378254.0
SKU-15601,1,128973.26,11.025093598859044,17.3,0.62,225.6,60,66,48,53,95.7,762811.0,762811.0,29094041.0,30619663.0
SKU-12177,1,115580.53,52.63836909165104,17.2,0.61,223.8,63,247,230,234,101.5,719290.0,719290.0,25868879.0,27307459.0
SKU-06689,1,782436.12,28.982370120088135,17.0,0.61,221.0,24,144,127,131,39.3,1859584.0,1859584.0,172902635.0,176621803.0
SKU-13720,1,280800.78,2.5779731827314385,16.8,0.6,219.2,40,40,12,16,65.8,1109623.0,1109623.0,61563138.0,63782383.0
SKU-11142,1,295951.48,123.8622981684218,16.6,0.59,216.2,39,556,540,544,64.5,1131363.0,1131363.0,63999067.0,66261792.0
SKU-15520,1,13078.94,19.94782692960587,16.5,0.59,214.5,182,182,87,91,308.2,236889.0,236889.0,2805810.0,3279587.0
SKU-11557,1,382419.28,22.453510431978206,16.4,0.58,213.3,34,115,98,102,57.1,1277363.0,1277363.0,81582821.0,84137547.0
SKU-11143,1,298153.0,251.35130035564998,16.3,0.58,212.1,38,1111,1094,1098,64.9,1124520.0,1124520.0,63227301.0,65476342.0
SKU-14561,1,150492.14,7.2844215085776876,16.3,0.58,212.9,54,54,32,36,91.2,800419.0,800419.0,32033495.0,33634332.0
SKU-06655,1,170352.35,2.9838405965337143,16.2,0.58,211.4,50,50,13,18,86.0,848627.0,848627.0,36008426.0,37705681.0
SKU-15603,1,84868.92,15.581226960819187,16.2,0.58,210.5,71,84,68,72,122.1,597807.0,597807.0,17868661.0,19064275.0
SKU-04262,1,1093697.29,8.299987790455447,15.5,0.55,202.3,20,52,37,40,34.7,2103459.0,2103459.0,221226997.0,225433915.0
SKU-14615,1,147536.23,9.257746648935314,15.4,0.55,200.7,53,56,41,45,94.9,769481.0,769481.0,29605080.0,31144043.0
SKU-06772,1,962478.19,9.469165556772515,15.1,0.54,196.9,21,57,42,45,37.5,1946856.0,1946856.0,189512349.0,193406060.0
SKU-15105,1,12229.04,7.532410944741224,14.9,0.53,194.0,179,179,33,37,335.1,217841.0,217841.0,2372743.0,2808426.0
SKU-15980,1,482513.62,2.4049058348652554,14.9,0.53,194.1,29,29,11,15,53.3,1368753.0,1368753.0,93674262.0,96411768.0
SKU-14516,1,249367.17,6.376270245979153,14.8,0.53,192.4,40,43,28,32,74.5,979564.0,979564.0,47977277.0,49936405.0
SKU-04434,1,698694.08,7.895680929942015,14.4,0.52,188.2,24,49,35,38,45.0,1621499.0,1621499.0,131463016.0,134706015.0
SKU-10978,1,41954.98,11.793258460872003,14.4,0.52,188.0,95,95,52,55,183.8,397206.0,397206.0,7888625.0,8683036.0
SKU-13552,1,245629.98,4.220289310600783,14.3,0.51,186.5,39,39,19,22,76.3,957128.0,957128.0,45804676.0,47718931.0
SKU-03143,1,422960.56,6.785358203949008,14.0,0.5,182.9,30,44,30,34,58.7,1243897.0,1243897.0,77364009.0,79851803.0
SKU-14558,1,150343.19,7.510370577498703,14.0,0.5,183.1,50,50,33,37,98.4,742017.0,742017.0,27529497.0,29013532.0
SKU-10384,1,28496.37,49.986995386722405,13.8,0.49,180.3,113,232,218,221,227.7,320592.0,320592.0,5138947.0,5780130.0
SKU-14286,1,242244.87,8.863354960269744,13.8,0.49,179.3,39,53,39,43,78.3,932001.0,932001.0,43431309.0,45295312.0
SKU-10052,1,38301.46,15.060513488399401,13.7,0.49,178.3,97,97,66,69,197.5,369597.0,369597.0,6830109.0,7569304.0
SKU-01074,1,94406.61,5.510705879432153,13.4,0.48,175.3,61,61,24,28,126.9,575263.0,575263.0,16546368.0,17696893.0
SKU-09647,1,240640.74,6.555298463943576,13.3,0.48,173.8,39,42,29,32,79.8,914547.0,914547.0,41819773.0,43648866.0
SKU-00984,1,172180.14,3.7976600983002973,12.5,0.45,163.5,44,44,17,20,97.3,750428.0,750428.0,28157089.0,29657945.0
SKU-11007,1,101297.53,13.746857663390934,12.2,0.43,158.4,56,72,60,63,128.9,566504.0,566504.0,16046346.0,17179354.0
SKU-15169,1,141776.3,11.913143069717817,12.0,0.43,155.8,47,64,52,55,109.8,664655.0,664655.0,22088317.0,23417627.0
SKU-15968,1,427010.83,6.246393317738389,11.7,0.42,152.0,27,39,28,31,64.1,1139339.0,1139339.0,64904620.0,67183297.0
SKU-14213,1,163422.02,8.154423889208324,11.5,0.41,150.4,43,48,36,39,104.1,701220.0,701220.0,24585507.0,25987948.0
SKU-14280,1,165331.33,19.591303335008263,11.3,0.4,147.3,43,97,86,89,104.6,697792.0,697792.0,24345662.0,25741245.0
SKU-15000,1,173455.53,8.123603302239495,11.2,0.4,145.9,42,47,36,39,102.6,711433.0,711433.0,25306847.0,26729713.0
SKU-06313,1,204999.05,5.506618730724783,11.1,0.4,144.7,38,38,24,27,94.8,770126.0,770126.0,29654739.0,31194992.0
SKU-15220,1,52492.06,14.768339216891617,11.1,0.4,144.5,75,76,65,68,187.4,389506.0,389506.0,7585749.0,8364761.0
SKU-09518,1,70923.18,9.10551323877499,11.0,0.39,143.3,64,64,40,43,161.9,450821.0,450821.0,10161990.0,11063633.0
SKU-12114,1,76685.78,10.386973961442699,10.9,0.39,141.6,61,61,46,48,156.6,466026.0,466026.0,10858988.0,11791039.0
SKU-07449,1,122022.59,2.5692876300649576,10.7,0.38,138.9,48,48,12,14,125.4,582313.0,582313.0,16954450.0,18119076.0
SKU-10113,1,90385.135,52.04059805290736,10.7,0.38,139.5,56,238,227,230,145.4,502112.0,502112.0,12605817.0,13610040.0
SKU-14293,1,176526.92,8.371270610952141,10.5,0.37,136.6,40,47,37,40,105.1,694351.0,694351.0,24106156.0,25494857.0
SKU-11004,1,122589.5,20.378910535262165,10.4,0.37,136.0,48,100,89,92,126.4,577445.0,577445.0,16672150.0,17827040.0
SKU-00956,1,40000.0,2.674396151477242,10.2,0.36,132.3,82,82,12,15,224.4,325369.0,325369.0,5293239.0,5943976.0
SKU-15174,1,60844.615000000005,8.807967623904483,10.1,0.36,131.6,66,66,39,41,182.4,400114.0,400114.0,8004542.0,8804769.0
SKU-09128,1,87626.74,2.6748364568703176,10.0,0.36,130.6,55,55,12,15,152.6,478471.0,478471.0,11446719.0,12403661.0
SKU-00375,1,772127.9,3.3244866724493285,9.8,0.35,127.8,19,25,15,17,52.0,1404650.0,1404650.0,98652038.0,101461337.0
SKU-15596,1,84243.2,13.759401800832519,9.8,0.35,127.4,56,70,60,63,157.5,463394.0,463394.0,10736700.0,11663488.0
SKU-15389,1,129742.29,7.222497817575122,9.7,0.34,125.9,45,45,32,34,127.7,571510.0,571510.0,16331175.0,17474194.0
SKU-00353,1,923107.34,9.992908923198293,9.5,0.34,123.6,17,53,44,46,48.3,1510517.0,1510517.0,114083080.0,117104114.0
SKU-04882,1,209906.28,32.892164835652835,9.5,0.34,123.4,35,153,144,146,101.4,719702.0,719702.0,25898577.0,27337982.0
SKU-09659,1,206877.25,10.12870480219319,9.5,0.34,124.4,35,54,45,47,101.8,717377.0,717377.0,25731468.0,27166221.0
SKU-14275,1,146551.52,15.516649411282685,9.5,0.34,124.0,42,78,68,70,121.1,602858.0,602858.0,18171861.0,19377576.0
SKU-04252,1,851690.62,4.685299327206451,9.4,0.33,122.1,17,30,21,23,50.6,1442391.0,1442391.0,104024652.0,106909434.0
SKU-04214,1,378240.06,4.231585461729215,9.3,0.33,121.6,26,28,19,21,76.1,958923.0,958923.0,45976621.0,47894466.0
SKU-09765,1,415513.69,13.309454593456408,9.3,0.33,120.8,25,68,58,61,72.9,1001984.0,1001984.0,50198605.0,52202573.0
SKU-14998,1,178768.0,8.778949070592775,9.2,0.33,120.3,37,48,39,41,111.3,655738.0,655738.0,21499646.0,22811123.0
SKU-09580,1,218318.45,4.99138244293477,9.1,0.32,118.2,33,33,22,24,101.6,718504.0,718504.0,25812420.0,27249429.0
SKU-11885,1,101935.48,3.871333875377006,9.1,0.32,118.3,49,49,17,20,148.7,491037.0,491037.0,12055871.0,13037945.0
SKU-01068,1,149111.27,4.0450149874158825,9.0,0.32,117.6,40,40,18,20,123.3,592290.0,592290.0,17540396.0,18724977.0
SKU-09903,1,30402.04,5.3879020833497036,8.8,0.32,115.3,88,88,24,26,275.7,264807.0,264807.0,3506135.0,4035748.0
SKU-14326,1,278260.63,5.891776034375239,8.8,0.32,115.0,29,35,26,28,91.2,800152.0,800152.0,32012157.0,33612461.0
SKU-07177,1,43359.76,5.78006040233893,8.7,0.31,113.1,73,73,26,28,233.1,313236.0,313236.0,4905851.0,5532323.0
SKU-09910,1,94379.49,4.246605654475865,8.6,0.31,111.6,49,49,19,21,159.1,458945.0,458945.0,10531526.0,11449416.0
SKU-14634,1,166926.89,8.62523293286275,8.6,0.31,112.7,37,47,38,40,119.0,613516.0,613516.0,18820094.0,20047126.0
SKU-11637,1,299001.01,5.882469999785515,8.5,0.3,110.9,28,35,26,28,89.6,814506.0,814506.0,33171020.0,34800033.0
SKU-07573,1,594646.56,2.9771625223452927,8.4,0.3,109.2,20,22,13,16,64.0,1139859.0,1139859.0,64963925.0,67243643.0
SKU-09285,1,128880.66,3.1593840226346597,8.3,0.3,108.3,41,41,14,16,138.2,528250.0,528250.0,13952405.0,15008905.0
SKU-00208,1,481141.95,4.846330987993083,8.1,0.29,106.0,21,30,22,24,72.3,1009927.0,1009927.0,50997611.0,53017465.0
SKU-09669,1,205000.0,4.378106450505061,8.1,0.29,106.0,33,33,20,22,110.8,659113.0,659113.0,21721515.0,23039741.0
SKU-15145,1,75209.31,16.248210263535533,8.1,0.29,105.4,53,79,71,73,183.3,398171.0,398171.0,7927003.0,8723345.0
SKU-03672,1,19350.06,16.611550791033004,8.0,0.29,104.9,105,105,73,75,362.3,201505.0,201505.0,2030204.0,2433213.0
SKU-01052,1,161739.15,6.7280597705454905,7.9,0.28,103.1,36,38,30,32,126.4,577372.0,577372.0,16667925.0,17822669.0
SKU-09622,1,345415.35,8.636326389260757,7.9,0.28,102.7,25,46,38,40,86.7,842411.0,842411.0,35482821.0,37167643.0
SKU-14631,1,194397.8,6.805531332222421,7.9,0.28,103.3,33,38,30,32,115.2,633632.0,633632.0,20074479.0,21341743.0
SKU-15955,1,230850.22,14.51702369522215,7.9,0.28,103.6,30,72,64,66,105.6,691587.0,691587.0,23914663.0,25297838.0
SKU-09499,1,27853.27,14.843482930473103,7.8,0.28,101.2,86,86,65,67,307.4,237450.0,237450.0,2819130.0,3294031.0
SKU-09633,1,219918.1,1.68031137819263,7.7,0.28,100.6,31,31,8,10,109.8,665103.0,665103.0,22118086.0,23448292.0
SKU-12178,1,121504.17,20.59772448281531,7.7,0.28,100.9,41,98,90,92,147.4,495101.0,495101.0,12256243.0,13246445.0
SKU-14894,1,123652.25,6.575912447795577,7.7,0.28,100.6,41,41,29,31,146.3,498854.0,498854.0,12442764.0,13440472.0
SKU-14581,1,176728.61,6.099887360236918,7.6,0.27,98.7,34,35,27,29,123.6,590641.0,590641.0,17442814.0,18624095.0
SKU-09918,1,74315.24,3.3570835753243116,7.5,0.27,98.3,52,52,15,17,191.0,382170.0,382170.0,7302677.0,8067016.0
SKU-08926,1,69489.1,1.8466209084788505,7.4,0.26,95.9,53,53,9,10,199.9,365168.0,365168.0,6667389.0,7397725.0
SKU-11260,1,47757.57,9.962921363290622,7.4,0.26,96.4,64,64,44,46,240.6,303442.0,303442.0,4603838.0,5210721.0
SKU-03772,1,619784.95,16.15609809002487,7.3,0.26,95.7,18,78,71,73,67.0,1089214.0,1089214.0,59319355.0,61497783.0
SKU-10998,1,110348.87,17.321024212171277,7.2,0.26,93.8,42,83,76,78,160.4,455032.0,455032.0,10352728.0,11262793.0
SKU-12439,1,5068.01,21.61700649532478,7.2,0.26,93.6,193,193,95,96,749.3,97420.0,97420.0,474532.0,669372.0
SKU-00203,1,103757.77,4.952657083606399,7.1,0.25,92.4,43,43,22,24,166.7,437899.0,437899.0,9587795.0,10463594.0
SKU-10057,1,33473.31,12.02036862213496,7.1,0.25,92.1,75,75,53,55,293.9,248362.0,248362.0,3084183.0,3580907.0
SKU-09450,1,18145.01,10.354643932042704,7.0,0.25,91.0,101,101,46,47,401.7,181707.0,181707.0,1650877.0,2014292.0
SKU-14219,1,187627.79,3.1352408104895284,6.9,0.25,89.4,31,31,14,16,126.0,579338.0,579338.0,16781653.0,17940330.0
SKU-07440,1,95702.99,3.717559342262463,6.8,0.24,88.3,43,43,17,18,177.6,411076.0,411076.0,8449156.0,9271307.0
SKU-05036,1,798839.55,3.013789751382362,6.7,0.24,87.8,15,20,14,15,61.6,1184114.0,1184114.0,70106356.0,72474585.0
SKU-11275,1,212026.07,6.0305704588217655,6.7,0.24,87.8,29,33,27,28,119.6,610154.0,610154.0,18614402.0,19834710.0
SKU-14492,1,170256.44,5.989703353608228,6.7,0.24,87.7,33,33,27,28,133.6,546462.0,546462.0,14931060.0,16023985.0
SKU-15193,1,174548.04,10.608244868027683,6.7,0.24,87.5,32,53,47,48,132.1,552728.0,552728.0,15275419.0,16380875.0
SKU-10063,1,41870.48,10.483251743574385,6.6,0.24,86.6,65,65,46,48,271.0,269344.0,269344.0,3627300.0,4165987.0
SKU-11899,1,100454.55,1.7162789821888254,6.6,0.24,86.6,42,42,8,10,175.0,417034.0,417034.0,8695874.0,9529942.0
SKU-01034,1,159176.02,3.3032981814816664,6.5,0.23,84.4,33,33,15,16,140.8,518372.0,518372.0,13435459.0,14472202.0
SKU-01648,1,566433.5,2.862657267266597,6.5,0.23,84.7,18,19,13,15,74.5,979753.0,979753.0,47995772.0,49955277.0
SKU-11286,1,253590.87,2.581033951972665,6.5,0.23,85.1,26,26,12,13,111.1,657010.0,657010.0,21583093.0,22897112.0
SKU-00953,1,25923.22,4.603296108627958,6.4,0.23,83.1,81,81,21,22,351.6,207626.0,207626.0,2155436.0,2570689.0
SKU-00990,1,99499.11,4.208237550926056,6.4,0.23,83.8,42,42,19,20,178.7,408441.0,408441.0,8341200.0,9158082.0
SKU-03687,1,99152.74,167.95964932716117,6.4,0.23,83.2,41,738,731,733,179.7,406289.0,406289.0,8253518.0,9066095.0
SKU-06678,1,1071134.37,5.215793456667693,6.3,0.23,82.2,13,30,23,25,55.0,1327248.0,1327248.0,88079394.0,90733891.0
SKU-15425,1,52628.28,13.465848631448344,6.3,0.23,82.6,57,65,59,61,247.5,294898.0,294898.0,4348250.0,4938046.0
SKU-07772,1,154157.29,35.83009578713354,6.2,0.22,80.8,33,163,156,158,146.3,499088.0,499088.0,12454449.0,13452625.0
SKU-11010,1,194283.68,4.06201920231798,6.2,0.22,81.3,29,29,18,20,129.9,562140.0,562140.0,15800090.0,16924371.0
SKU-14597,1,455327.89,7.779393847089617,6.2,0.22,81.2,19,41,34,36,84.9,859792.0,859792.0,36962072.0,38681655.0
SKU-15022,1,95281.89,9.180485194760402,6.2,0.22,80.5,42,47,40,42,186.4,391644.0,391644.0,7669254.0,8452542.0
SKU-11006,1,154244.48,6.979816030066728,6.1,0.22,78.9,32,37,31,32,148.0,493407.0,493407.0,12172516.0,13159330.0
SKU-01470,1,1759204.75,1.7419358661207724,6.0,0.21,77.7,10,14,8,10,44.2,1653093.0,1653093.0,136635776.0,139941961.0
SKU-10535,1,537870.36,26.671819677560073,6.0,0.21,77.8,18,123,117,118,79.8,915000.0,915000.0,41861231.0,43691231.0
SKU-14614,1,160611.5,6.714874685123352,6.0,0.21,77.8,32,36,30,31,146.1,499810.0,499810.0,12490477.0,13490096.0
SKU-00343,1,1086938.76,1.6568625495540832,5.8,0.21,76.0,12,14,8,9,56.8,1285179.0,1285179.0,82584198.0,85154555.0
SKU-02819,1,887093.6,3.9495427405117196,5.8,0.21,76.1,14,24,18,19,62.8,1162190.0,1162190.0,67534259.0,69858638.0
SKU-06877,1,474504.27,47.01099131397465,5.8,0.21,75.2,18,211,205,207,86.4,844675.0,844675.0,35673753.0,37363102.0
SKU-07697,1,19452.96,122.31759048140405,5.8,0.21,75.7,89,539,533,534,425.4,171606.0,171606.0,1472438.0,1815651.0
SKU-09991,1,50327.79,4.875503310018901,5.8,0.21,75.6,55,55,22,23,264.6,275854.0,275854.0,3804775.0,4356484.0
SKU-14409,1,127013.84,12.569805089976535,5.8,0.21,76.2,35,61,55,57,165.9,440075.0,440075.0,9683313.0,10563464.0
SKU-15015,1,140660.28,6.228399568792971,5.8,0.21,75.1,33,33,28,29,158.8,459667.0,459667.0,10564670.0,11484004.0
SKU-07171,1,101296.07,4.980056155287006,5.7,0.2,74.7,39,39,22,24,187.6,389072.0,389072.0,7568832.0,8346975.0
SKU-10496,1,2007.56,20.87298570276286,5.7,0.2,74.8,273,273,91,93,1332.4,54787.0,54787.0,150079.0,259653.0
SKU-13516,1,113879.88,4.828165751193765,5.6,0.2,73.1,36,36,22,23,178.9,407980.0,407980.0,8322380.0,9138339.0
SKU-14489,1,165558.75,6.012818998516217,5.6,0.2,72.7,30,32,27,28,148.8,490691.0,490691.0,12038871.0,13020253.0
SKU-12632,1,107161.605,17.44341974619256,5.5,0.19,71.1,37,82,76,78,187.0,390439.0,390439.0,7622141.0,8403019.0
SKU-15424,1,68962.11,8.328432142659697,5.5,0.2,71.3,46,46,37,38,232.8,313597.0,313597.0,4917144.0,5544338.0
SKU-00591,1,262665.67,7.465266501853302,5.4,0.19,70.4,24,38,33,34,120.0,608083.0,608083.0,18488231.0,19704397.0
