sku,month,unit_cost,std_daily,D_month,mean_daily,D_annual_equiv,EOQ,Recommended_Order,Safety_Stock,Reorder_Point,Cycle_Time_days,Annual_Order_Cost,Annual_Holding_Cost,Annual_Purchase_Cost,Total_Annual_Cost
SKU-08863,1,134824.08,47.5197315049025,80.9,2.89,1055.1,126,288,207,228,43.3,1686698.0,1686698.0,142247561.0,145620958.0
SKU-10054,1,29217.64,12.876077338951124,80.9,2.89,1054.1,269,269,57,77,93.0,784820.0,784820.0,30797150.0,32366791.0
SKU-14741,1,142375.03,13.979883414203217,74.4,2.66,969.9,117,136,61,80,43.9,1661878.0,1661878.0,138091913.0,141415669.0
SKU-14468,1,154213.03,17.369406935271783,73.4,2.62,957.4,112,150,76,94,42.5,1718368.0,1718368.0,147639452.0,151076188.0
SKU-12537,1,146803.89,67.77508562283634,72.8,2.6,948.9,114,368,295,314,43.7,1669187.0,1669187.0,139309259.0,142647632.0
SKU-15118,1,21369.65,13.149575895118812,71.3,2.55,929.8,295,295,58,76,115.8,630392.0,630392.0,19869707.0,21130491.0
SKU-15421,1,64608.75,14.468828286065184,69.7,2.49,909.0,168,168,63,81,67.4,1083799.0,1083799.0,58730971.0,60898568.0
SKU-15974,1,232524.71,7.159445927705965,68.9,2.46,898.5,88,101,32,49,35.7,2044134.0,2044134.0,208924104.0,213012372.0
SKU-07022,1,485370.53,12.033429763464747,68.3,2.44,890.8,61,121,53,70,24.8,2940657.0,2940657.0,432373201.0,438254515.0
SKU-14730,1,155182.11,25.29755707166107,66.8,2.38,870.3,106,177,111,127,44.4,1643479.0,1643479.0,135051103.0,138338060.0
SKU-10121,1,420884.92,53.25023615570497,64.8,2.31,844.8,64,297,232,248,27.4,2666641.0,2666641.0,355548782.0,360882064.0
SKU-14763,1,120380.54,20.63462527038762,63.3,2.26,825.3,118,154,90,106,51.8,1409599.0,1409599.0,99348515.0,102167714.0
SKU-06651,1,98959.12,7.353073056951588,60.6,2.16,790.2,127,127,32,48,58.4,1250582.0,1250582.0,78197776.0,80698940.0
SKU-14644,1,239187.06,13.906938750944109,58.6,2.09,764.0,80,120,61,76,38.2,1911759.0,1911759.0,182741054.0,186564571.0
SKU-10981,1,45042.81,11.253262003172685,58.3,2.08,759.8,184,184,49,64,88.2,827348.0,827348.0,34225229.0,35879925.0
SKU-14882,1,154197.52,15.40572622246882,56.8,2.03,739.8,98,124,68,82,48.3,1510493.0,1510493.0,114079440.0,117100426.0
SKU-14641,1,143385.99,14.888824176760997,56.4,2.02,735.5,102,122,65,79,50.3,1452341.0,1452341.0,105464726.0,108369408.0
SKU-10989,1,57013.83,10.164819313207005,55.3,1.98,721.4,160,160,45,59,80.5,906980.0,906980.0,41130638.0,42944598.0
SKU-14647,1,225903.12,17.437117182277643,55.2,1.97,719.1,80,132,76,90,40.5,1802518.0,1802518.0,162453494.0,166058529.0
SKU-10364,1,26288.88,53.71758456081068,54.9,1.96,716.2,234,289,234,248,119.0,613655.0,613655.0,18828638.0,20055948.0
SKU-14798,1,137712.44,11.943715680324782,54.7,1.95,713.0,102,107,52,66,52.1,1401308.0,1401308.0,98183171.0,100985787.0
SKU-00345,1,1100419.52,19.3254755728341,52.6,1.88,686.3,36,137,85,98,18.8,3886446.0,3886446.0,755223225.0,762996118.0
SKU-14888,1,119648.03,18.322197729543397,52.1,1.86,678.6,107,132,80,93,57.3,1274301.0,1274301.0,81192154.0,83740756.0
SKU-09490,1,11000.0,20.17580390128391,50.7,1.81,660.9,347,347,88,101,191.5,381298.0,381298.0,7269422.0,8032019.0
SKU-10499,1,455379.95,6.46378512080408,47.7,1.71,622.4,53,76,29,41,30.7,2380917.0,2380917.0,283438233.0,288200066.0
SKU-06833,1,780504.54,28.7667419799902,47.1,1.68,614.5,40,173,126,137,23.6,3097156.0,3097156.0,479618703.0,485813015.0
SKU-14838,1,254619.88,16.327250334754396,46.0,1.64,599.7,69,118,72,83,41.8,1747611.0,1747611.0,152707233.0,156202455.0
SKU-14747,1,141067.14,13.768450339105236,45.0,1.61,586.5,92,105,60,72,56.8,1286317.0,1286317.0,82730581.0,85303215.0
SKU-14574,1,164869.07,12.384543822327066,44.3,1.58,577.6,84,99,54,65,52.9,1380012.0,1380012.0,95221624.0,97981648.0
SKU-08865,1,160000.0,10.468302058373554,43.8,1.56,570.6,85,90,46,57,54.0,1351210.0,1351210.0,91288456.0,93990877.0
SKU-00998,1,82262.58,8.57812635520313,42.2,1.51,549.7,116,116,38,48,76.8,950998.0,950998.0,45219830.0,47121826.0
SKU-03565,1,85662.18,13.586207522057183,41.6,1.49,542.5,113,113,60,70,75.7,964091.0,964091.0,46473605.0,48401787.0
SKU-12064,1,480132.62,5.155460418410249,41.0,1.46,534.3,48,64,23,33,32.2,2265002.0,2265002.0,256511810.0,261041815.0
SKU-15283,1,71718.48,18.076739016961646,39.9,1.42,519.6,121,121,79,89,84.6,863332.0,863332.0,37267146.0,38993811.0
SKU-10991,1,64705.87,8.934147429063582,39.6,1.41,516.2,127,127,39,49,89.3,817295.0,817295.0,33398540.0,35033129.0
SKU-11398,1,65550.51,16.607792055514373,38.1,1.36,496.9,124,124,73,82,90.4,807091.0,807091.0,32569782.0,34183964.0
SKU-06689,1,782436.12,28.982370120088135,37.9,1.35,494.0,36,165,127,136,26.3,2780330.0,2780330.0,386511838.0,392072499.0
SKU-15169,1,141776.3,11.913143069717817,37.6,1.34,489.5,84,90,52,62,62.0,1178180.0,1178180.0,69405430.0,71761790.0
SKU-15106,1,13947.84,8.025208943529547,37.4,1.33,487.1,265,265,35,45,198.0,368626.0,368626.0,6794266.0,7531519.0
SKU-04434,1,698694.08,7.895680929942015,36.9,1.32,481.7,38,72,35,44,28.1,2594353.0,2594353.0,336533274.0,341721979.0
SKU-15201,1,95168.19,8.741401604928631,35.7,1.27,465.0,99,99,39,47,77.6,940790.0,940790.0,44254249.0,46135829.0
SKU-06696,1,924849.61,12.185321917085814,35.0,1.25,456.9,32,89,54,62,25.1,2906992.0,2906992.0,422530180.0,428344164.0
SKU-11011,1,179872.75,16.929980341705978,34.5,1.23,449.6,71,109,74,83,57.4,1271755.0,1271755.0,80868092.0,83411603.0
SKU-11001,1,121782.61,21.535767979030673,34.1,1.22,444.0,86,128,94,103,70.2,1039865.0,1039865.0,54066011.0,56145742.0
SKU-14872,1,154869.7,14.100036082346653,33.1,1.18,431.8,75,95,62,70,63.1,1156516.0,1156516.0,66876459.0,69189491.0
SKU-09647,1,240640.74,6.555298463943576,33.0,1.18,429.9,60,62,29,37,50.7,1438480.0,1438480.0,103461226.0,106338186.0
SKU-10117,1,510990.25,42.20392628053627,32.7,1.17,425.7,41,217,184,192,35.0,2085879.0,2085879.0,217544657.0,221716416.0
SKU-11014,1,188228.91,23.31383190321557,32.4,1.16,423.0,68,134,102,110,57.9,1261884.0,1261884.0,79617509.0,82141276.0
SKU-15601,1,128973.26,11.025093598859044,32.1,1.15,418.0,81,81,48,56,70.3,1038411.0,1038411.0,53914911.0,55991733.0
SKU-15146,1,119299.54,7.070395652127928,32.0,1.14,417.4,84,84,31,39,73.1,997981.0,997981.0,49798285.0,51794247.0
SKU-11557,1,382419.28,22.453510431978206,31.4,1.12,408.7,47,130,98,106,41.3,1767989.0,1767989.0,156289184.0,159825161.0
SKU-14465,1,148108.74,40.91615669421239,31.1,1.11,405.7,75,210,179,186,66.6,1096271.0,1096271.0,60090467.0,62283008.0
SKU-13726,1,238080.45,3.813991372578127,30.5,1.09,397.0,58,58,17,25,53.1,1374883.0,1374883.0,94515116.0,97264881.0
SKU-15000,1,173455.53,8.123603302239495,29.4,1.05,383.2,67,67,36,43,63.3,1152912.0,1152912.0,66460311.0,68766135.0
SKU-09624,1,396600.45,3.547697843036924,28.8,1.03,375.7,44,45,16,23,42.3,1726209.0,1726209.0,148989831.0,152442248.0
SKU-15121,1,16568.68,12.996576502249207,28.3,1.01,368.3,211,211,57,64,209.0,349333.0,349333.0,6101666.0,6800332.0
SKU-06772,1,962478.19,9.469165556772515,28.1,1.0,365.7,28,70,42,49,27.5,2653256.0,2653256.0,351988477.0,357294990.0
SKU-15284,1,76483.08,25.85908353248379,27.8,0.99,362.0,98,141,113,120,98.1,744091.0,744091.0,27683577.0,29171760.0
SKU-15520,1,13078.94,19.94782692960587,27.8,0.99,362.1,236,236,87,94,237.2,307756.0,307756.0,4735682.0,5351194.0
SKU-10984,1,44314.47,7.455053223237325,27.5,0.98,359.1,128,128,33,40,129.4,564141.0,564141.0,15912734.0,17041016.0
SKU-14516,1,249367.17,6.376270245979153,27.3,0.97,355.7,54,56,28,35,54.8,1331986.0,1331986.0,88709337.0,91373309.0
SKU-14561,1,150492.14,7.2844215085776876,27.2,0.97,354.5,69,69,32,39,70.7,1032952.0,1032952.0,53349511.0,55415415.0
SKU-15105,1,12229.04,7.532410944741224,26.8,0.96,349.6,240,240,33,40,249.7,292399.0,292399.0,4274847.0,4859644.0
SKU-04163,1,557009.1,6.019123155574533,26.6,0.95,346.7,36,53,27,33,37.1,1965210.0,1965210.0,193102458.0,197032878.0
SKU-12114,1,76685.78,10.386973961442699,26.3,0.94,343.2,95,95,46,52,100.6,725466.0,725466.0,26315064.0,27765996.0
SKU-15145,1,75209.31,16.248210263535533,25.9,0.93,338.1,95,97,71,78,102.4,713166.0,713166.0,25430300.0,26856632.0
SKU-13552,1,245629.98,4.220289310600783,25.6,0.91,333.6,53,53,19,25,57.0,1280131.0,1280131.0,81936714.0,84496975.0
SKU-12532,1,52580.18,76.41269155091679,24.9,0.89,325.2,112,358,333,339,124.8,584796.0,584796.0,17099328.0,18268920.0
SKU-11069,1,314278.32,7.751034426108404,24.7,0.88,322.4,46,59,34,40,51.3,1423503.0,1423503.0,101318085.0,104165091.0
SKU-10978,1,41954.98,11.793258460872003,24.6,0.88,321.0,124,124,52,58,140.7,519011.0,519011.0,13468619.0,14506641.0
SKU-14286,1,242244.87,8.863354960269744,24.4,0.87,317.7,52,63,39,45,58.8,1240648.0,1240648.0,76960376.0,79441672.0
SKU-15980,1,482513.62,2.4049058348652554,24.1,0.86,314.0,37,37,11,17,41.9,1740646.0,1740646.0,151492397.0,154973689.0
SKU-12177,1,115580.53,52.63836909165104,24.0,0.86,313.3,74,254,230,236,85.8,851036.0,851036.0,36213138.0,37915211.0
SKU-14558,1,150343.19,7.510370577498703,24.0,0.86,312.3,65,65,33,39,75.3,969033.0,969033.0,46951234.0,48889300.0
SKU-09285,1,128880.66,3.1593840226346597,23.8,0.85,310.0,70,70,14,20,81.7,893904.0,893904.0,39953180.0,41740988.0
SKU-06655,1,170352.35,2.9838405965337143,23.7,0.85,309.1,61,61,13,19,71.1,1026248.0,1026248.0,52659267.0,54711763.0
SKU-15603,1,84868.92,15.581226960819187,23.3,0.83,303.5,85,92,68,74,101.7,717720.0,717720.0,25756131.0,27191572.0
SKU-00984,1,172180.14,3.7976600983002973,22.5,0.8,293.8,59,59,17,23,72.6,1005765.0,1005765.0,50578132.0,52589662.0
SKU-01074,1,94406.61,5.510705879432153,22.5,0.8,293.8,79,79,24,30,98.0,744747.0,744747.0,27732391.0,29221885.0
SKU-02481,1,480000.0,2.081234236627972,22.5,0.8,293.6,35,35,10,15,43.5,1678788.0,1678788.0,140916473.0,144274049.0
SKU-04262,1,1093697.29,8.299987790455447,22.4,0.8,291.4,24,59,37,42,28.9,2524807.0,2524807.0,318732555.0,323782170.0
SKU-13720,1,280800.78,2.5779731827314385,22.1,0.79,287.5,46,46,12,17,57.4,1270674.0,1270674.0,80730582.0,83271930.0
SKU-09518,1,70923.18,9.10551323877499,21.6,0.77,282.2,90,90,40,46,115.4,632633.0,632633.0,20011249.0,21276515.0
SKU-12533,1,52133.71,54.09920968917855,21.5,0.77,280.8,104,257,236,241,134.9,541112.0,541112.0,14640110.0,15722334.0
SKU-14293,1,176526.92,8.371270610952141,21.1,0.75,275.5,56,58,37,42,74.0,986239.0,986239.0,48633362.0,50605840.0
SKU-09656,1,19284.08,13.896516082896158,20.4,0.73,265.7,167,167,61,66,228.0,320147.0,320147.0,5124717.0,5765012.0
SKU-10052,1,38301.46,15.060513488399401,20.2,0.72,263.2,118,118,66,71,162.6,449022.0,449022.0,10081030.0,10979074.0
SKU-03143,1,422960.56,6.785358203949008,20.1,0.72,262.1,36,50,30,35,49.0,1488927.0,1488927.0,110845248.0,113823103.0
SKU-03687,1,99152.74,167.95964932716117,20.0,0.72,261.0,73,751,731,736,101.5,719474.0,719474.0,25882161.0,27321109.0
SKU-09499,1,27853.27,14.843482930473103,20.0,0.71,260.9,137,137,65,70,191.5,381219.0,381219.0,7266383.0,8028820.0
SKU-11007,1,101297.53,13.746857663390934,19.9,0.71,258.8,72,80,60,65,100.8,724066.0,724066.0,26213555.0,27661686.0
SKU-01052,1,161739.15,6.7280597705454905,19.8,0.71,258.1,57,57,30,35,79.9,913755.0,913755.0,41747373.0,43574882.0
SKU-15174,1,60844.615000000005,8.807967623904483,19.6,0.7,255.6,92,92,39,44,130.9,557752.0,557752.0,15554343.0,16669846.0
SKU-00353,1,923107.34,9.992908923198293,19.0,0.68,247.5,24,63,44,49,34.1,2137770.0,2137770.0,228503070.0,232778610.0
SKU-10113,1,90385.135,52.04059805290736,18.9,0.67,245.9,74,246,227,232,109.5,666673.0,666673.0,22222623.0,23555968.0
SKU-11004,1,122589.5,20.378910535262165,18.8,0.67,245.3,64,108,89,94,94.1,775474.0,775474.0,30067970.0,31618918.0
SKU-14213,1,163422.02,8.154423889208324,18.4,0.66,239.7,55,55,36,41,82.5,885124.0,885124.0,39172268.0,40942517.0
SKU-00956,1,40000.0,2.674396151477242,18.0,0.64,234.9,109,109,12,17,168.4,433534.0,433534.0,9397596.0,10264664.0
SKU-07449,1,122022.59,2.5692876300649576,18.0,0.64,234.0,62,62,12,16,96.6,755759.0,755759.0,28558601.0,30070119.0
SKU-04214,1,378240.06,4.231585461729215,17.6,0.63,229.4,35,37,19,23,55.4,1317440.0,1317440.0,86782465.0,89417346.0
SKU-12439,1,5068.01,21.61700649532478,17.6,0.63,229.5,301,301,95,99,478.6,152533.0,152533.0,1163312.0,1468378.0
SKU-00375,1,772127.9,3.3244866724493285,17.5,0.62,227.5,25,32,15,19,38.9,1874509.0,1874509.0,175689121.0,179438139.0
SKU-09622,1,345415.35,8.636326389260757,17.4,0.62,226.9,37,55,38,42,58.3,1252117.0,1252117.0,78389821.0,80894054.0
SKU-14280,1,165331.33,19.591303335008263,17.2,0.61,224.5,53,103,86,90,84.7,861509.0,861509.0,37109867.0,38832884.0
SKU-15596,1,84243.2,13.759401800832519,17.0,0.61,221.7,73,77,60,65,119.5,611111.0,611111.0,18672847.0,19895069.0
SKU-14998,1,178768.0,8.778949070592775,16.8,0.6,219.6,50,56,39,43,82.4,886019.0,886019.0,39251467.0,41023505.0
SKU-03672,1,19350.06,16.611550791033004,16.7,0.6,217.2,150,150,73,77,251.8,289958.0,289958.0,4203793.0,4783709.0
SKU-14894,1,123652.25,6.575912447795577,16.7,0.6,217.5,60,60,29,33,99.5,733358.0,733358.0,26890717.0,28357434.0
SKU-04252,1,851690.62,4.685299327206451,16.5,0.59,215.3,23,37,21,25,38.1,1915243.0,1915243.0,183407827.0,187238313.0
SKU-06929,1,416540.26,14.740726725309168,16.5,0.59,215.1,33,81,65,69,54.5,1338641.0,1338641.0,89597928.0,92275209.0
SKU-09450,1,18145.01,10.354643932042704,16.4,0.59,214.4,154,154,46,50,261.7,278933.0,278933.0,3890174.0,4448039.0
SKU-15022,1,95281.89,9.180485194760402,16.3,0.58,212.0,67,67,40,45,114.8,635623.0,635623.0,20200851.0,21472097.0
SKU-15189,1,69471.13,19.26276795398345,16.2,0.58,210.9,78,101,84,88,134.9,541285.0,541285.0,14649492.0,15732063.0
SKU-09910,1,94379.49,4.246605654475865,15.9,0.57,207.3,67,67,19,23,116.7,625478.0,625478.0,19561163.0,20812120.0
SKU-10998,1,110348.87,17.321024212171277,15.9,0.57,207.7,62,92,76,80,107.8,677090.0,677090.0,22922539.0,24276719.0
SKU-11260,1,47757.57,9.962921363290622,15.5,0.55,202.1,93,93,44,48,166.1,439408.0,439408.0,9653953.0,10532769.0
SKU-09903,1,30402.04,5.3879020833497036,15.4,0.55,200.9,115,115,24,28,208.8,349542.0,349542.0,6108996.0,6808081.0
SKU-14581,1,176728.61,6.099887360236918,15.4,0.55,201.0,48,48,27,31,86.6,842945.0,842945.0,35527843.0,37213734.0
SKU-07537,1,85266.02,4.150405252712881,15.3,0.54,198.8,69,69,19,22,125.4,582325.0,582325.0,16955131.0,18119781.0
SKU-09765,1,415513.69,13.309454593456408,15.3,0.55,198.9,31,74,58,62,56.8,1285748.0,1285748.0,82657341.0,85228836.0
SKU-07573,1,594646.56,2.9771625223452927,15.1,0.54,197.3,26,29,13,17,47.7,1531868.0,1531868.0,117331014.0,120394750.0
SKU-06313,1,204999.05,5.506618730724783,15.0,0.53,194.9,44,44,24,28,81.7,893910.0,893910.0,39953752.0,41741572.0
SKU-15425,1,52628.28,13.465848631448344,15.0,0.54,195.7,87,87,59,63,160.9,453825.0,453825.0,10297842.0,11205491.0
SKU-15968,1,427010.83,6.246393317738389,15.0,0.54,196.1,31,43,28,31,56.4,1294058.0,1294058.0,83729365.0,86317482.0
SKU-14326,1,278260.63,5.891776034375239,14.9,0.53,194.9,38,41,26,30,70.1,1041337.0,1041337.0,54219144.0,56301818.0
SKU-14409,1,127013.84,12.569805089976535,14.8,0.53,192.6,56,70,55,59,104.4,699441.0,699441.0,24460856.0,25859738.0
SKU-15389,1,129742.29,7.222497817575122,14.8,0.53,193.5,55,55,32,36,103.0,708534.0,708534.0,25100986.0,26518053.0
SKU-11899,1,100454.55,1.7162789821888254,14.7,0.53,192.0,62,62,8,12,117.5,621112.0,621112.0,19289036.0,20531261.0
SKU-01076,1,138269.23,2.711037951773506,14.6,0.52,190.7,53,53,12,16,100.5,726213.0,726213.0,26369259.0,27821685.0
SKU-04268,1,1434049.19,15.376642398840332,14.6,0.52,189.8,17,82,67,71,31.3,2333148.0,2333148.0,272178925.0,276845221.0
SKU-10986,1,47292.44,8.237056885093304,14.5,0.52,189.5,90,90,36,40,172.5,423311.0,423311.0,8959605.0,9806227.0
SKU-14275,1,146551.52,15.516649411282685,14.3,0.51,185.8,51,82,68,72,98.9,737919.0,737919.0,27226215.0,28702052.0
SKU-14634,1,166926.89,8.62523293286275,14.2,0.51,184.6,48,52,38,42,93.0,785148.0,785148.0,30822904.0,32393201.0
SKU-07772,1,154157.29,35.83009578713354,14.0,0.5,182.1,49,170,156,160,97.4,749250.0,749250.0,28068786.0,29567286.0
SKU-14291,1,268529.43,17.650520449437007,14.0,0.5,181.9,37,91,77,81,73.9,988395.0,988395.0,48846209.0,50822999.0
SKU-00208,1,481141.95,4.846330987993083,13.9,0.5,180.8,28,35,22,25,55.3,1319008.0,1319008.0,86989131.0,89627148.0
SKU-07177,1,43359.76,5.78006040233893,13.7,0.49,178.6,91,91,26,29,185.5,393553.0,393553.0,7744203.0,8531309.0
SKU-11258,1,34866.7,11.425078569212967,13.7,0.49,178.2,102,102,50,54,207.1,352474.0,352474.0,6211903.0,6916852.0
SKU-15955,1,230850.22,14.51702369522215,13.6,0.48,176.8,40,77,64,67,80.8,903530.0,903530.0,40818346.0,42625406.0
SKU-09669,1,205000.0,4.378106450505061,13.4,0.48,174.8,42,42,20,23,86.2,846529.0,846529.0,35830542.0,37523599.0
SKU-02648,1,58747.53,6.329870051031835,13.1,0.47,170.2,77,77,28,31,163.2,447190.0,447190.0,9998962.0,10893343.0
SKU-15447,1,46977.55,20.930596925086707,13.1,0.47,171.0,86,105,92,95,182.1,400817.0,400817.0,8032720.0,8834354.0
SKU-14316,1,195649.53,4.168235078808497,13.0,0.46,169.3,42,42,19,22,89.7,813848.0,813848.0,33117418.0,34745113.0
SKU-03145,1,511470.14,3.5018356306563336,12.9,0.46,168.7,26,29,16,19,55.6,1313547.0,1313547.0,86270233.0,88897326.0
SKU-07171,1,101296.07,4.980056155287006,12.9,0.46,167.9,58,58,22,25,125.2,583231.0,583231.0,17007946.0,18174409.0
SKU-09523,1,45731.205,21.86766186958897,12.8,0.46,166.8,86,108,96,99,186.9,390600.0,390600.0,7628399.0,8409598.0
SKU-11275,1,212026.07,6.0305704588217655,12.8,0.46,166.8,40,40,27,30,86.8,840938.0,840938.0,35358875.0,37040752.0
SKU-09580,1,218318.45,4.99138244293477,12.7,0.45,165.1,39,39,22,25,86.0,849135.0,849135.0,36051545.0,37749815.0
SKU-14472,1,139397.65,8.499818311640785,12.7,0.45,165.0,49,50,37,41,107.6,678140.0,678140.0,22993701.0,24349981.0
SKU-00990,1,99499.11,4.208237550926056,12.3,0.44,160.3,57,57,19,22,129.2,564801.0,564801.0,15950019.0,17079622.0
SKU-06827,1,997371.43,3.5515450568444855,12.2,0.44,158.9,18,28,16,19,41.0,1780465.0,1780465.0,158502782.0,162063712.0
SKU-09633,1,219918.1,1.68031137819263,12.2,0.44,159.1,39,39,8,11,87.3,836646.0,836646.0,34998852.0,36672145.0
SKU-10904,1,201905.02,2.6709410567421683,12.2,0.43,158.5,40,40,12,15,91.2,800098.0,800098.0,32007808.0,33608003.0
SKU-14219,1,187627.79,3.1352408104895284,12.1,0.43,158.0,42,42,14,17,94.8,769944.0,769944.0,29640690.0,31180578.0
SKU-09128,1,87626.74,2.6748364568703176,12.0,0.43,156.9,60,60,12,15,139.2,524367.0,524367.0,13748063.0,14796798.0
SKU-08926,1,69489.1,1.8466209084788505,11.9,0.42,155.0,67,67,9,12,157.3,464083.0,464083.0,10768674.0,11696841.0
SKU-09813,1,425555.04,129.25340206295388,11.9,0.43,155.7,28,575,563,566,63.4,1151263.0,1151263.0,66270286.0,68572811.0
SKU-14434,1,113968.44,12.611190981782014,11.9,0.43,155.4,53,67,55,58,122.6,595204.0,595204.0,17713413.0,18903822.0
SKU-14615,1,147536.23,9.257746648935314,11.9,0.42,154.6,46,53,41,44,108.1,675377.0,675377.0,22806738.0,24157493.0
SKU-14584,1,177301.38,5.077192971630873,11.8,0.42,153.4,42,42,23,26,99.0,737548.0,737548.0,27198830.0,28673925.0
SKU-14631,1,194397.8,6.805531332222421,11.8,0.42,153.8,40,42,30,33,94.4,773379.0,773379.0,29905787.0,31452545.0
SKU-00203,1,103757.77,4.952657083606399,11.6,0.41,150.8,54,54,22,25,130.5,559313.0,559313.0,15641556.0,16760182.0
SKU-06548,1,45269.1,4.335330375026138,11.6,0.41,151.1,82,82,19,22,197.4,369869.0,369869.0,6840167.0,7579905.0
SKU-11270,1,404574.22,2.8056878018127174,11.6,0.41,151.0,28,28,13,16,66.1,1105212.0,1105212.0,61074717.0,63285141.0
SKU-14597,1,455327.89,7.779393847089617,11.5,0.41,149.7,26,46,34,37,62.5,1167526.0,1167526.0,68155873.0,70490926.0
SKU-05036,1,798839.55,3.013789751382362,11.4,0.41,148.8,20,25,14,16,47.3,1542090.0,1542090.0,118902154.0,121986335.0
SKU-08523,1,126912.36,4.789384007693657,11.4,0.41,148.3,49,49,21,24,119.0,613544.0,613544.0,18821819.0,20048907.0
SKU-09918,1,74315.24,3.3570835753243116,11.4,0.41,148.2,64,64,15,18,155.5,469368.0,469368.0,11015336.0,11954073.0
SKU-03772,1,619784.95,16.15609809002487,11.2,0.4,145.5,22,82,71,74,54.4,1342875.0,1342875.0,90165690.0,92851441.0
SKU-04187,1,974994.04,4.366579361543897,11.1,0.4,144.5,18,31,20,22,43.5,1678411.0,1678411.0,140853163.0,144209984.0
SKU-06678,1,1071134.37,5.215793456667693,11.1,0.4,145.2,17,34,23,26,41.4,1763884.0,1763884.0,155564334.0,159092102.0
SKU-11637,1,299001.01,5.882469999785515,11.1,0.39,144.1,32,37,26,29,78.6,928321.0,928321.0,43089003.0,44945645.0
SKU-14614,1,160611.5,6.714874685123352,11.0,0.39,143.3,43,43,30,32,107.6,678459.0,678459.0,23015310.0,24372227.0
SKU-07771,1,111081.5,54.97168302378808,10.9,0.39,141.5,51,251,240,242,130.2,560586.0,560586.0,15712830.0,16834002.0
SKU-11006,1,154244.48,6.979816030066728,10.9,0.39,142.0,43,43,31,34,110.3,661828.0,661828.0,21900802.0,23224457.0
SKU-02506,1,1502665.57,1.6359344731070906,10.7,0.38,139.7,14,18,8,10,35.6,2049353.0,2049353.0,209992451.0,214091158.0
SKU-14492,1,170256.44,5.989703353608228,10.7,0.38,139.5,41,41,27,29,105.9,689206.0,689206.0,23750263.0,25128676.0
SKU-08067,1,25702.2,8.203706609761067,10.6,0.38,138.1,104,104,36,39,274.0,266391.0,266391.0,3548204.0,4080985.0
SKU-14329,1,293819.41,3.8924539180296285,10.6,0.38,138.0,31,31,17,20,81.1,900394.0,900394.0,40535465.0,42336253.0
